Errors,Import status,Updated fields,Store code,Business name,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Sub-locality,Locality,Administrative area,Country / Region,Postal code,Latitude,Longitude,Primary phone,Additional phones,Website,Primary category,Additional categories,Sunday hours,Monday hours,Tuesday hours,Wednesday hours,Thursday hours,Friday hours,Saturday hours,Special hours,From the business,Opening date,Logo photo,Cover photo,Other photos,Labels,AdWords location extensions phone
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-003,Сырная Лавка,"массив Карасу, 6-й квартал, 28Г",,,,,,Tashkent,,Uzbekistan,,41.3391,69.3394,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-006,Сырная Лавка,"улица Паркент, 74",,,,,,Tashkent,,Uzbekistan,,41.3148853,69.3228553,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-007,Сырная Лавка,"улица Сайрам, 37Б",,,,,,Tashkent,,Uzbekistan,,41.332993,69.3195198,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-009,Сырная Лавка,"улица Катартал, 60А",,,,,,Tashkent,,Uzbekistan,,41.2923777,69.2113336,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-010,Сырная Лавка,"улица Мирабад, 43",,,,,,Tashkent,,Uzbekistan,,41.2907237,69.2742065,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-013,Сырная Лавка,"Сергелийский район, Мехригиё",,,,,,Tashkent,,Uzbekistan,,41.225,69.2141,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-014,Сырная Лавка,"Яшнабадский район, Уйсозлар",,,,,,Tashkent,,Uzbekistan,,41.306,69.352,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-019,Сырная Лавка,Газалкент,,,,,,Gazalkent,Toshkent Viloyati,Uzbekistan,,41.5705483,69.7678008,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-022,Сырная Лавка,"улица Тимура Малика, 3",,,,,,Tashkent,,Uzbekistan,,41.3451,69.264,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-024,Сырная Лавка,"Юнусабад, 14-й квартал, 61А",,,,,,Tashkent,,Uzbekistan,,41.3697,69.3197,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-027,Сырная Лавка,"улица Карасу, 1",,,,,,Tashkent,,Uzbekistan,,41.292343,69.3414489,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,SL-030,Сырная Лавка,"Буюк Турон, 73",,,,,,Tashkent,,Uzbekistan,,41.3066539,69.2685906,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,RUBA-033,RUBA,"Бурхониддин Маргинони, 9",,,,,,Tashkent,,Uzbekistan,,41.2786,69.2045,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
You’ve exceeded the limit for the amount of locations you can upload to Google My Business in a single day. Try again later.,Errors,,RUBA-034,RUBA,"Сергелийский район, Фарогатли",,,,,,Tashkent,,Uzbekistan,,41.21,69.205,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-001,Сырная Лавка,"Чиланзарский район, Катта Чиланзар-3",,,,,,Tashkent,,Uzbekistan,,41.2824,69.1562,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-004,Сырная Лавка,"улица Сакичмон, 1",,,,,,Tashkent,,Uzbekistan,,41.3240272,69.2313501,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-011,Сырная Лавка,"улица Мехнатабад, 82",,,,,,Tashkent,,Uzbekistan,,41.3465493,69.1898052,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-016,Сырная Лавка,Фархадский базар,,,,,,Tashkent,,Uzbekistan,,41.2856386,69.190326,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-017,Сырная Лавка,"Юнусабад, 3-й квартал, 3/1",,,,,,Tashkent,,Uzbekistan,,41.3451,69.2981,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-021,Сырная Лавка,"Чиланзарский район, квартал Ц, 8А/6",,,,,,Tashkent,,Uzbekistan,,41.2912,69.1878,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-026,Сырная Лавка,"улица Шарафа Рашидова, 14",,,,,,Chirchik,Toshkent Viloyati,Uzbekistan,,41.4722,69.5839,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-029,Сырная Лавка,"Мирзо-Улугбек тумани, Гульсанам 7",,,,,,Tashkent,,Uzbekistan,,41.3476,69.3357,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-031,Сырная Лавка,"улица Навруз, 4",,,,,,Yangiyul,Toshkent Viloyati,Uzbekistan,,41.0996061,69.0390444,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
,New,,SL-032,Сырная Лавка,"Центральный рынок, 24",,,,,,Fergana,Farg'ona Viloyati,Uzbekistan,,40.3886,71.7865,+998785551515,,https://www.instagram.com/sirnayalavka.uz/,Cheese shop,,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,07:00-19:00,,Магазин качественных сыров и молочных продуктов. Широкий выбор отечественных и импортных сортов. Свежая продукция каждый день.,,https://avatars.mds.yandex.net/get-altay/18150755/2a0000019c9af2e3ae35b3364448d95f4b1d/orig,,,cheese-shop,
